"","V1","V2","V3","V4","V5","V6"
"FlSB10",9.999e-05,0.184249,0.333966,0.0170676,0.0391717,0.425445
"FlSB20",9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995,9.996e-05
"FlSB05",9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995,9.996e-05
"FlSB02",9.9991e-05,0.122732,0.223062,0.00507984,0.610723,0.038302
"FlSB12",9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995,9.996e-05
"FlSB01",0.0443063,9.9991e-05,0.0186563,0.034931,0.891488,0.0105188
"FlSB16",9.9991e-05,0.0227897,0.117869,0.0482521,0.772569,0.0384198
"FlSB14",9.9982e-05,0.001867,0.0170083,9.9982e-05,0.967194,0.0137311
"FlSB08",9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995,9.996e-05
"FlSB17",0.00291364,9.9964e-05,9.9964e-05,9.9964e-05,0.996687,9.9964e-05
"FlSB09",9.9973e-05,9.9973e-05,0.0538475,9.9973e-05,0.929568,0.0162845
"FlFP01",9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05,0.0014031,0.998197
"FlFP02",9.996e-05,9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995
"FlFP08",9.996e-05,9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995
"FlFP10",9.9964e-05,0.00276957,9.9964e-05,9.9964e-05,9.9964e-05,0.996831
"FlFP04",9.996e-05,9.996e-05,9.996e-05,9.996e-05,9.996e-05,0.9995
"FlFP09",0.00983415,9.9982e-05,0.0626012,9.9982e-05,0.060732,0.866633
"FlFP07",0.0134544,9.9982e-05,0.00306064,9.9982e-05,0.00746203,0.975823
"FlFP05",9.9964e-05,9.9964e-05,9.9964e-05,0.00415274,9.9964e-05,0.995447
"FlFP03",0.0277139,0.0223649,0.0282487,0.0169828,9.9991e-05,0.90459
"FlAM08",0.0210629,0.940611,0.00546294,0.00445813,0.0191355,0.00927003
"FlAM07",9.9982e-05,0.950122,0.0357371,0.00477744,0.00916331,9.9982e-05
"FlAM01",9.9973e-05,0.96985,0.0265109,9.9973e-05,0.00333946,9.9973e-05
"FlAM03",9.9982e-05,0.88373,0.088188,9.9982e-05,0.00451227,0.0233694
"FlAM09",9.9964e-05,0.99704,9.9964e-05,9.9964e-05,0.00256024,9.9964e-05
"FlAM05",9.9982e-05,0.948225,0.0469053,0.0037004,9.9982e-05,0.0009695
"FlAM04",9.9982e-05,0.942727,0.0431629,0.0050573,9.9982e-05,0.00885261
"BRLS07",0.240058,0.745999,9.9982e-05,0.000550632,9.9982e-05,0.013193
"BRLS13",9.9964e-05,0.931171,0.0684291,9.9964e-05,9.9964e-05,9.9964e-05
"BRHS14",9.9973e-05,0.979368,0.00243276,0.0178991,9.9973e-05,9.9973e-05
"BRLS05",0.140099,0.859501,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BRHS10",0.0225578,0.139055,0.837241,9.9982e-05,9.9982e-05,0.000945953
"BRLS17",0.179801,0.51115,0.295379,9.9991e-05,0.00050909,0.0130599
"BRHS21",9.9964e-05,0.952872,0.0467283,9.9964e-05,9.9964e-05,9.9964e-05
"BRHS17",0.334679,0.660764,9.9973e-05,0.0042568,9.9973e-05,9.9973e-05
"BRHS07",0.17006,0.81779,0.00297065,0.00231101,9.9991e-05,0.00676837
"BRHS06",0.0190981,0.973978,0.00662376,9.9973e-05,9.9973e-05,9.9973e-05
"BRLS19",9.9973e-05,0.97206,9.9973e-05,0.00955293,0.0180867,9.9973e-05
"BRHS13",0.266779,0.732821,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BRLS03",0.0355127,0.963351,9.9973e-05,9.9973e-05,9.9973e-05,0.000836511
"BRHS22",0.305743,0.425973,0.248922,9.9982e-05,9.9982e-05,0.0191625
"BRLS02",9.9973e-05,0.932478,0.0578654,0.00935681,9.9973e-05,9.9973e-05
"BRHS11",0.596877,0.332199,0.0706239,9.9973e-05,9.9973e-05,9.9973e-05
"BRLS11",9.9973e-05,0.971253,0.0232956,0.00515115,9.9973e-05,9.9973e-05
"BRHS16",0.221771,0.74308,9.9982e-05,0.0112478,9.9982e-05,0.0237004
"BRLS16",0.558925,0.123807,0.315082,9.9982e-05,0.00198633,9.9982e-05
"BRLS01",0.446386,0.532141,9.9982e-05,0.0117031,0.00957005,9.9982e-05
"BRLS14",0.0696935,0.881843,0.0309977,0.00647876,0.010887,9.9991e-05
"BRLS09",9.9982e-05,0.93483,0.0530353,9.9982e-05,0.00135037,0.0105842
"BRLS12",0.0307274,0.903964,0.0527554,9.9991e-05,0.00395007,0.00850266
"BRHS05",0.541738,0.30722,0.112606,0.0382362,9.9982e-05,9.9982e-05
"BRLS20",0.230434,0.323182,0.413568,9.9991e-05,0.008531,0.0241853
"BRLS06",9.9964e-05,0.999292,9.9964e-05,9.9964e-05,9.9964e-05,0.000308637
"BRHS19",0.491979,0.459135,9.9973e-05,0.0485865,9.9973e-05,9.9973e-05
"BRHS04",0.413257,0.42263,0.151014,0.00262148,0.000694019,0.00978393
"BRLS15",9.9982e-05,0.986372,0.0070124,9.9982e-05,0.00571497,0.000700922
"BRHS09",9.9964e-05,0.987684,0.0119166,9.9964e-05,9.9964e-05,9.9964e-05
"BRLS10",0.594754,0.0749152,0.33003,9.9973e-05,9.9973e-05,9.9973e-05
"BRLS18",0.0772349,0.922365,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BRHS20",0.182532,0.769489,0.0357905,9.9982e-05,0.0119889,9.9982e-05
"SHLS37",0.0721366,0.185446,0.722837,0.00339473,9.9991e-05,0.0160859
"SHLS15",0.688735,0.193129,0.102155,0.014841,9.9991e-05,0.00103999
"SHLS23",0.580388,0.378215,0.041097,9.9973e-05,9.9973e-05,9.9973e-05
"SHHS11",0.648567,0.329251,9.9982e-05,0.0158072,0.00617495,9.9982e-05
"SHHS23",0.145559,0.854041,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"SHLS30",0.120041,0.148243,0.73085,9.9982e-05,0.000665988,9.9982e-05
"SHHS20",9.9973e-05,0.963876,0.0330448,9.9973e-05,0.00277901,9.9973e-05
"SHLS13",0.183851,0.101163,0.688848,0.00884984,0.0171879,9.9991e-05
"SHHS13",0.149626,0.845957,9.9982e-05,0.00111622,0.00310173,9.9982e-05
"SHHS17",0.268607,0.730994,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"SHHS04",9.9991e-05,0.506742,0.437141,0.00690937,0.010874,0.0382337
"SHLS17",9.9973e-05,0.970622,0.0267601,9.9973e-05,9.9973e-05,0.00231806
"SHLS29",0.604063,0.203242,0.164053,0.028443,9.9982e-05,9.9982e-05
"SHLS19",9.9973e-05,0.979235,0.0182086,9.9973e-05,0.00225642,9.9973e-05
"SHHS24",0.663922,0.29978,9.9982e-05,0.0143404,0.0217574,9.9982e-05
"SHLS35",0.740384,0.24484,0.0144763,9.9973e-05,9.9973e-05,9.9973e-05
"SHHS26",0.0977411,0.118779,0.765783,9.9991e-05,0.00500965,0.0125872
"SHHS02",0.76977,0.144516,0.0704225,9.9991e-05,0.00847572,0.00671573
"SHLS09",0.720741,0.273954,9.9973e-05,0.00500539,9.9973e-05,9.9973e-05
"SHHS19",0.0469152,0.898714,9.9982e-05,0.050997,0.00317348,9.9982e-05
"SHHS25",0.530175,0.297454,0.156077,9.9991e-05,0.00651553,0.00967894
"SHHS10",0.0535887,0.923827,9.9982e-05,0.0150088,9.9982e-05,0.00737512
"SHHS07",9.996e-05,0.9995,9.996e-05,9.996e-05,9.996e-05,9.996e-05
"SHHS01",0.204559,0.795041,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"SHLS28",0.271322,0.0198481,0.708531,9.9973e-05,9.9973e-05,9.9973e-05
"SHLS03",9.9982e-05,0.990162,0.000895479,0.00553791,9.9982e-05,0.00320467
"SHHS14",0.28354,0.0427031,0.673457,9.9973e-05,9.9973e-05,9.9973e-05
"SHLS32",0.0415716,0.953889,9.9982e-05,0.00203995,0.00229922,9.9982e-05
"SHHS15",0.278994,0.444023,0.222984,0.0318164,0.0220819,9.9991e-05
"SHHS03",0.345171,0.627943,9.9973e-05,9.9973e-05,9.9973e-05,0.0265857
"SHLS26",0.585892,0.320162,0.0885468,9.9982e-05,9.9982e-05,0.00519932
"SHHS06",0.506872,0.384463,0.0780181,0.0144337,0.0161134,9.9991e-05
"CHLS01",0.445813,0.278682,0.229483,0.0413685,9.9991e-05,0.00455308
"CHLS02",0.346113,0.65047,9.9973e-05,9.9973e-05,9.9973e-05,0.00311778
"CHLS11",0.580846,0.178753,0.240101,9.9973e-05,9.9973e-05,9.9973e-05
"CHHS20",0.504223,0.240815,0.248213,9.9991e-05,0.00445967,0.00218923
"CHHS22",9.996e-05,0.9995,9.996e-05,9.996e-05,9.996e-05,9.996e-05
"CHLS12",9.9973e-05,0.935923,0.0622774,9.9973e-05,0.00150008,9.9973e-05
"CHHS14",0.41352,0.223183,0.357275,9.9982e-05,0.00582166,9.9982e-05
"CHHS01",0.291273,0.708327,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"CHHS15",0.121034,0.802933,0.0438339,9.9982e-05,9.9982e-05,0.0319991
"CHLS09",0.0573055,0.889721,0.0526737,9.9973e-05,9.9973e-05,9.9973e-05
"CHLS20",0.210492,0.78894,9.9973e-05,9.9973e-05,0.000269057,9.9973e-05
"CHHS06",0.403388,0.385861,0.150358,0.0588644,9.9991e-05,0.00142907
"CHLS19",0.110727,0.862499,9.99852e-05,0.0162571,9.99852e-05,0.010317
"CHHS26",9.9991e-05,0.0877994,0.375045,0.0606071,0.0650366,0.411411
"CHLS26",0.057563,0.938243,9.9973e-05,9.9973e-05,0.00389406,9.9973e-05
"CHLS06",0.492309,0.41918,0.055966,9.9982e-05,9.9982e-05,0.0323453
"CHLS15",9.996e-05,0.9995,9.996e-05,9.996e-05,9.996e-05,9.996e-05
"CHLS08",9.9982e-05,0.918212,0.0450826,0.0239635,0.0125417,9.9982e-05
"CHLS28",0.152669,0.846932,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"CHLS05",9.9973e-05,0.957181,0.0120292,0.0304897,9.9973e-05,9.9973e-05
"CHHS47",0.375532,0.0606962,0.517455,9.9982e-05,9.9982e-05,0.0461171
"CHLS07",0.0948551,0.899623,9.9973e-05,9.9973e-05,9.9973e-05,0.00522158
"CHHS40",0.104727,0.894874,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"CHHS24",0.299963,0.0644949,0.613241,9.9982e-05,0.0221013,9.9982e-05
"CHHS13",0.283837,0.703757,9.9973e-05,0.0121062,9.9973e-05,9.9973e-05
"CHLS16",9.9973e-05,0.915598,0.0567759,0.0273264,9.9973e-05,9.9973e-05
"CHHS29",0.238248,0.761352,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"CHLS25",0.430426,0.270903,0.258526,9.9991e-05,0.00702903,0.033017
"CHHS02",0.236842,0.754013,9.9973e-05,9.9973e-05,9.9973e-05,0.00884531
"CHLS18",9.9964e-05,0.891686,0.107914,9.9964e-05,9.9964e-05,9.9964e-05
"CHHS37",0.542219,0.0694039,0.385449,9.9982e-05,0.00272811,9.9982e-05
"CHHS52",0.0365816,0.899526,0.0323132,0.0137906,0.0176882,9.9991e-05
"CHLS24",9.9991e-05,0.365698,0.556023,0.0371269,0.0285887,0.0124634
"CHLS13",0.189593,0.785733,0.0111933,9.9982e-05,0.0132808,9.9982e-05
"CHHS03",0.0280042,0.875731,0.0802099,0.015855,9.9982e-05,9.9982e-05
"CHHS05",0.188833,9.9964e-05,0.810767,9.9964e-05,9.9964e-05,9.9964e-05
"CHHS10",0.578926,0.420675,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"CHHS16",0.434241,0.565359,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"CHHS48",0.443569,0.0382752,0.515183,0.00277275,9.9982e-05,9.9982e-05
"CHLS04",0.478947,0.231055,0.257918,0.0318802,9.9982e-05,9.9982e-05
"CHLS29",0.0447154,0.938489,9.9973e-05,9.9973e-05,9.9973e-05,0.0164959
"CHLS30",9.9973e-05,0.952234,0.0208972,0.0265688,9.9973e-05,9.9973e-05
"BBHS01",0.394303,0.139995,0.465402,9.9973e-05,9.9973e-05,9.9973e-05
"BBHS14",0.545853,0.123605,0.321413,0.00031192,0.00198578,0.00683065
"BBHS15",0.548537,0.414966,0.0153288,0.0178015,9.9991e-05,0.00326611
"BBHS20",0.537119,0.44867,9.9973e-05,0.0139116,9.9973e-05,9.9973e-05
"BBHS09",0.597821,0.066478,0.288271,0.0238735,0.0234573,9.9991e-05
"BBHS29",0.415564,9.9982e-05,0.568928,0.0125727,9.9982e-05,0.00273574
"BBHS07",0.141121,0.858479,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BBHS16",0.16876,0.83084,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BBHS19",0.433993,0.3687,0.140502,0.0329685,0.0237369,9.9991e-05
"BBHS10",0.00514025,0.976932,9.9982e-05,0.00682829,9.9982e-05,0.0108991
"BBHS11",9.9973e-05,0.930044,0.0412515,0.0284041,9.9973e-05,9.9973e-05
"BBHS23",0.0323331,0.967267,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BBHS08",0.342837,0.650349,9.99729e-05,9.99729e-05,9.99729e-05,0.00651402
"BBHS12",0.30595,0.69365,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05
"BBHS13",0.311258,0.688343,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BBHS03",0.648243,0.351358,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"BBHS18",0.775643,0.160781,0.0556977,0.00767752,9.9982e-05,9.9982e-05
"BBHS27",0.140779,0.106166,0.697051,0.0558034,9.9982e-05,9.9982e-05
"BBHS02",0.0134632,0.239437,0.700206,0.0385526,9.9991e-05,0.00824132
"BBHS31",9.9973e-05,0.916034,0.0808954,9.9973e-05,0.00277107,9.9973e-05
"BBHS32",0.0550143,0.92483,0.00319997,9.9991e-05,0.00884178,0.00801409
"BBHS34",0.203918,0.0802161,0.715566,9.9973e-05,9.9973e-05,9.9973e-05
"WBHS49",9.9973e-05,0.954253,0.0449591,9.9973e-05,0.000487844,9.9973e-05
"WBHS41",0.153445,0.169069,0.663187,0.0134037,0.000794772,9.9991e-05
"WBHS32",0.588496,0.309792,0.0486998,0.0528123,9.9982e-05,9.9982e-05
"WBHS42",0.0588795,0.940721,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"WBHS63",0.0248051,0.969284,9.9973e-05,9.9973e-05,9.9973e-05,0.00561103
"WBHS22",0.238977,0.760623,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"WBHS34",0.494284,0.310382,0.176174,0.0189592,9.9982e-05,9.9982e-05
"WBHS25",9.9991e-05,0.433674,0.512081,0.0022248,0.00709062,0.0448298
"WBHS18",0.113857,0.862424,0.00264179,9.9991e-05,0.0126017,0.00837462
"WBHS04",0.710837,0.155734,0.107348,9.9982e-05,9.9982e-05,0.0258815
"WBHS33",0.359624,0.639976,9.99639e-05,9.99639e-05,9.99639e-05,9.99639e-05
"WBHS45",0.55206,0.289734,0.143038,9.9982e-05,0.0149688,9.9982e-05
"WBHS60",9.9991e-05,0.291456,0.66319,0.0135422,0.0193104,0.0124012
"WBHS15",0.109228,0.772236,0.10343,9.9986e-05,9.9986e-05,0.0149061
"WBHS16",0.692886,0.205665,0.0604548,0.0140676,0.0123778,0.0145487
"WBHS30",9.9973e-05,0.992514,0.00297594,9.9973e-05,0.00421031,9.9973e-05
"WBHS50",9.9964e-05,0.996601,9.9964e-05,0.0029991,9.9964e-05,9.9964e-05
"WBHS43",0.459027,0.444486,0.0595071,9.9991e-05,0.0158634,0.0210168
"WBHS29",0.18884,0.801718,9.9982e-05,0.000205169,9.9982e-05,0.0090362
"WBHS38",0.245685,0.0858,0.63304,9.9982e-05,9.9982e-05,0.0352747
"WBHS44",0.404233,0.595367,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"WBHS36",0.327962,0.663344,9.9973e-05,9.9973e-05,9.9973e-05,0.00839392
"WBHS56",0.187739,0.0838021,0.66179,0.0623832,0.00418582,9.9991e-05
"NcMV07",0.027273,0.966544,9.9973e-05,0.00588266,9.9973e-05,9.9973e-05
"NcMV35",0.0293202,0.951197,9.9982e-05,0.00893482,9.9982e-05,0.0103476
"NcBE01",0.439681,0.552126,9.9973e-05,9.9973e-05,0.00789292,9.9973e-05
"NcMV03",9.9982e-05,0.773118,0.15957,0.036877,0.030235,9.9982e-05
"NcMV24",9.9991e-05,0.815261,0.12691,0.0284437,0.0236407,0.00564507
"NcMV04",0.497612,0.221446,0.280642,9.9973e-05,9.9973e-05,9.9973e-05
"NcMV31",0.312922,0.671923,9.9973e-05,0.014855,9.9973e-05,9.9973e-05
"NcFR07",0.460082,0.539518,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"NcMV10",0.493235,0.315586,0.129645,0.061334,9.9982e-05,9.9982e-05
"NcMV20",0.0293115,0.970289,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"NcMV44",0.117418,0.845054,9.9973e-05,0.0372278,9.9973e-05,9.9973e-05
"NcMV21",0.238655,0.74167,0.0153851,9.9982e-05,9.9982e-05,0.00408994
"NcFR10",0.0088906,0.0205881,0.201966,0.139876,0.102828,0.525852
"NcMV14",0.436195,0.563405,9.9964e-05,9.9964e-05,9.9964e-05,9.9964e-05
"NcFR06",0.459657,0.199331,0.339922,9.9982e-05,9.9982e-05,0.000890857
"NcFR08",9.9964e-05,0.982801,0.0167994,9.9964e-05,9.9964e-05,9.9964e-05
"NcFR01",0.186358,9.9973e-05,0.775475,0.0378671,9.9973e-05,9.9973e-05
"NcFR11",0.355204,0.29063,0.257582,0.0692451,9.9991e-05,0.0272386
"NcFR02",0.404535,0.586386,9.9973e-05,9.9973e-05,9.9973e-05,0.00877957
"NcFR04",0.00325908,0.940999,0.0554416,9.9973e-05,9.9973e-05,9.9973e-05
"NcMV15",9.9964e-05,0.968803,0.0307969,9.9964e-05,9.9964e-05,9.9964e-05
"NcFR12",0.209408,0.665145,0.0756623,0.0375839,0.0121006,9.9991e-05
"NcMV11",9.9973e-05,0.993656,0.00172996,9.9973e-05,9.9973e-05,0.0043145
"NcMV43",9.996e-05,0.9995,9.996e-05,9.996e-05,9.996e-05,9.996e-05
"VaWA26",0.22329,0.720316,0.0371581,9.9991e-05,0.00239419,0.0167417
"VaWA06",0.577101,0.363433,0.0400496,9.9982e-05,9.9982e-05,0.0192168
"VaWA13",0.438089,0.131968,0.378866,0.0174735,0.0311981,0.00240566
"VaWA24",0.322972,0.6603,9.9973e-05,0.0164282,9.9973e-05,9.9973e-05
"VaWA17",0.165554,0.8125,9.9973e-05,9.9973e-05,9.9973e-05,0.0216467
"VaWA29",9.9973e-05,0.914614,0.0805216,0.00456456,9.9973e-05,9.9973e-05
"VaWA02",0.445583,0.501405,0.02279,0.013354,9.9991e-05,0.0167679
"VaWA03",9.9991e-05,0.896654,0.0805199,0.0143987,0.00167242,0.00665457
"VaWA07",9.9982e-05,0.201617,0.745508,0.00696751,0.0457076,9.9982e-05
"NjRG35",0.622821,0.160002,0.162817,0.0233304,0.0309304,9.9991e-05
"NjRG34",0.0566373,0.243962,0.621981,0.0707174,0.00660213,9.9991e-05
"NjRG14",0.124057,0.138751,0.676582,9.9982e-05,9.9982e-05,0.06041
"NjRG16",0.217756,0.504329,0.277615,9.9973e-05,9.9973e-05,9.9973e-05
"MaBH19",0.0819401,9.9973e-05,9.9973e-05,0.893797,9.9973e-05,0.0239625
"MaBH24",9.99731e-05,9.99731e-05,0.137454,0.851186,0.0110603,9.99731e-05
"MaWF10",0.0319848,9.9982e-05,0.251283,0.697742,9.9982e-05,0.0187902
"MaWF01",0.0227749,9.9982e-05,0.103579,0.853767,9.9982e-05,0.0196791
"MaWF51",9.9982e-05,9.9982e-05,0.288404,0.674064,0.0119743,0.0253583
"MaWF50",0.0022678,9.9964e-05,9.9964e-05,0.997332,9.9964e-05,9.9964e-05
"MaBH01",9.99639e-05,0.0313982,9.99639e-05,0.968202,9.99639e-05,9.99639e-05
"MaWF53",9.99729e-05,0.0109188,9.99729e-05,0.977474,9.99729e-05,0.0113071
"MaBH22",0.0180021,9.9964e-05,9.9964e-05,0.981598,9.9964e-05,9.9964e-05
"MaWF13",9.9991e-05,0.13334,0.364899,0.426572,0.0248804,0.050209
"MaBH20",0.0157518,9.9964e-05,9.9964e-05,0.983848,9.9964e-05,9.9964e-05
"MaWF54",9.99639e-05,0.0206092,9.99639e-05,0.978991,9.99639e-05,9.99639e-05
"MaDB04",9.99639e-05,0.0431578,9.99639e-05,0.956442,9.99639e-05,9.99639e-05
"MaWF52",9.9973e-05,0.00498483,9.9973e-05,0.975121,0.0195939,9.9973e-05
"MaWF56",9.9964e-05,0.0843072,9.9964e-05,0.915293,9.9964e-05,9.9964e-05
